City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
254,Kollam,IN,8.8833,76.6,76.46,94,100,6.42,overcast clouds
255,Rodez,FR,44.5,2.5833,69.04,72,0,5.75,clear sky
256,Thessalon,CA,46.2501,-83.5666,66.49,68,47,18.14,scattered clouds
257,Sheksna,RU,59.21,38.5107,62.4,99,100,3.56,overcast clouds
258,Kuusamo,FI,65.9667,29.1833,51.84,93,100,5.75,overcast clouds
259,Batagay,RU,67.6333,134.6333,75.34,54,99,1.05,overcast clouds
260,Xai-Xai,MZ,-25.0519,33.6442,59.34,81,0,5.86,clear sky
261,Birao,CF,10.2849,22.7882,69.19,98,99,4.05,overcast clouds
262,Rio Grande,BR,-32.035,-52.0986,55.51,90,100,17.18,overcast clouds
263,Flinders,AU,-34.5833,150.8552,51.39,80,48,7.0,scattered clouds
264,Benghazi,LY,32.1167,20.0667,80.76,73,0,8.52,clear sky
265,Fort Saint James,CA,54.4333,-124.25,90.75,19,0,6.93,clear sky
266,Chicama,PE,-7.8447,-79.1469,59.54,67,67,8.95,broken clouds
267,Itarantim,BR,-15.6597,-40.0656,66.02,74,11,4.94,few clouds
268,Boskovice,CZ,49.4875,16.66,69.87,54,67,7.85,broken clouds
269,Derzhavinsk,KZ,51.1,66.3167,59.22,89,83,13.65,broken clouds
270,Lakes Entrance,AU,-37.8811,147.981,46.17,88,12,12.75,few clouds
271,Catamarca,AR,-28.4696,-65.7852,57.78,57,20,1.99,few clouds
272,Luganville,VU,-15.5333,167.1667,78.39,85,99,4.12,overcast clouds
273,Mbulu,TZ,-3.85,35.5333,52.72,88,43,7.63,scattered clouds
274,Vestmannaeyjar,IS,63.4427,-20.2734,49.69,75,98,7.36,overcast clouds
275,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.28,83,41,19.91,scattered clouds
276,Newburgh,US,41.5034,-74.0104,88.14,61,75,11.5,broken clouds
277,Airai,TL,-8.9266,125.4092,50.49,69,81,3.94,broken clouds
278,Ankang,CN,32.68,109.0172,69.85,78,0,0.34,clear sky
279,Espanola,US,35.9911,-106.0806,79.88,47,77,1.01,broken clouds
280,Carlsbad,US,33.1581,-117.3506,97.34,69,0,11.5,clear sky
281,Aklavik,CA,68.2191,-135.0107,53.6,82,100,2.3,light rain
282,Beyla,GN,8.6833,-8.6333,66.54,99,73,4.52,broken clouds
283,Long Xuyen,VN,10.3833,105.4167,75.15,92,7,5.14,clear sky
284,Abu Samrah,SY,35.3029,37.1841,83.01,28,0,7.0,clear sky
285,Lavrentiya,RU,65.5833,-171.0,44.91,87,99,4.9,overcast clouds
286,Jutai,BR,-5.1833,-68.9,75.96,86,89,1.9,overcast clouds
287,Ossora,RU,59.2353,163.0719,54.1,67,96,4.52,overcast clouds
288,Nyurba,RU,63.2842,118.3319,68.9,72,34,6.26,scattered clouds
289,Fort Frances,CA,48.5999,-93.4003,70.02,64,20,14.97,few clouds
290,Myaundzha,RU,63.0494,147.1858,59.38,46,100,6.06,overcast clouds
291,Tamandare,BR,-8.7597,-35.1047,74.66,85,12,4.79,few clouds
292,Malkapur,IN,20.8833,76.2,79.57,84,100,3.89,overcast clouds
293,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,64.81,79,97,2.91,overcast clouds
294,Sao Filipe,CV,14.8961,-24.4956,79.52,76,16,11.88,few clouds
295,Doha,QA,25.2867,51.5333,91.29,77,0,11.5,clear sky
296,Cockburn Town,TC,21.4612,-71.1419,81.43,74,2,19.19,clear sky
297,Klaksvik,FO,62.2266,-6.589,52.72,92,90,15.37,overcast clouds
298,Hobyo,SO,5.3505,48.5268,75.45,88,72,23.02,broken clouds
299,Westport,US,41.1415,-73.3579,86.09,83,0,12.66,clear sky
300,Bay Roberts,CA,47.5999,-53.2648,59.05,88,93,7.0,overcast clouds
301,Sterling,US,39.0062,-77.4286,90.39,70,75,11.99,broken clouds
302,Ayagoz,KZ,47.9714,80.4392,68.54,39,7,8.63,clear sky
303,Bagdarin,RU,54.4333,113.6,51.28,99,100,3.29,overcast clouds
