City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
346,Sao Jose Da Coroa Grande,BR,74.77,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
372,Ketchikan,US,72.07,clear sky,55.3422,-131.6461,Snow's Cove Lodge
374,Waingapu,ID,72.27,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
387,Aykhal,RU,72.46,scattered clouds,66.0,111.5,
391,Yumen,CN,74.84,scattered clouds,40.2833,97.2,
407,Ambulu,ID,71.82,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
411,Pedro Juan Caballero,PY,71.82,scattered clouds,-22.5472,-55.7333,Hotel Pousada do Bosque
426,Kluang,MY,74.37,scattered clouds,2.0251,103.3328,Hotel Anika
435,Verkhnevilyuysk,RU,73.31,few clouds,63.4453,120.3167,Gostinitsa Mila
442,Guiratinga,BR,73.96,few clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
443,Arona,ES,70.7,clear sky,28.0996,-16.681,Paradise Court
451,Bima,ID,72.21,overcast clouds,-8.4667,118.7167,Lambitu Hotel
460,Tekirdag,TR,70.95,clear sky,40.978,27.5085,Tekirdağ Yat Hotel
462,San-Pedro,CI,73.92,few clouds,4.7485,-6.6363,Hotel Maria
463,Cravo Norte,CO,72.75,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
468,Mikhaylovka,RU,70.7,broken clouds,50.06,43.2379,5 Komnat
471,Kasongo-Lunda,CD,71.17,broken clouds,-6.4667,16.8167,
480,Ilhabela,BR,72.66,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
489,Glossa,GR,74.86,clear sky,35.4717,23.7763,Elia Hotel & Spa
498,Binzhou,CN,73.56,overcast clouds,37.3667,118.0167,Hampton By Hilton Binzhou
514,Ust-Kuyga,RU,70.2,overcast clouds,70.0167,135.6,
524,Albina,SR,74.28,overcast clouds,5.5,-54.05,Hudace
530,Sao Francisco,BR,70.47,few clouds,-15.9486,-44.8644,Pousada Peixe Vivo
531,Banikoara,BJ,74.19,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
532,Vila Franca Do Campo,PT,70.21,few clouds,37.7167,-25.4333,Pestana Bahia Praia
533,Sangar,RU,74.91,clear sky,63.9242,127.4739,
554,Teguise,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
566,Khowst,AF,74.98,scattered clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
577,Eureka,US,73.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
581,Poum,NC,71.55,scattered clouds,-20.2333,164.0167,
591,Huadian,CN,70.92,overcast clouds,42.9633,126.7478,Huadian Forestry Bureau
594,Pilot Butte,CA,74.82,few clouds,50.4668,-104.4178,Sleep Inn Regina East
601,Gamba,GA,70.23,overcast clouds,-2.65,10.0,
606,Niquelandia,BR,71.67,clear sky,-14.4739,-48.4597,Hotel Suinã
609,Noumea,NC,72.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
612,Ponta Delgada,PT,70.52,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
621,Solnechnyy,RU,71.96,overcast clouds,50.7214,136.6319,Hotel complex Pastoral
623,Candido Mendes,BR,74.55,scattered clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
625,Kalanchak,UA,73.65,clear sky,46.2562,33.2907,Колос
648,Georgiyevka,KZ,73.44,scattered clouds,43.0369,74.7114,Gostinitsa Imperiya
650,Caraquet,CA,70.34,broken clouds,47.7941,-64.9386,Gite Le Poirier
655,Maumere,ID,74.17,broken clouds,-8.6199,122.2111,Sylvia Hotel
664,Kindu,CD,70.61,overcast clouds,-2.95,25.95,Résidence Okanda
665,Odweyne,SO,73.45,clear sky,9.4092,45.064,Eng Hiirey House
667,Talakan,RU,71.51,overcast clouds,50.3167,130.3667,
704,Omboue,GA,71.02,broken clouds,-1.5746,9.2618,Hotel Olako
708,Praia Da Vitoria,PT,73.76,few clouds,38.7333,-27.0667,Hotel Branco I
715,Tiznit,MA,72.09,clear sky,29.5833,-9.5,
719,Xuddur,SO,70.12,scattered clouds,4.1213,43.8894,Banjanay Hotel
724,Maragogi,BR,73.81,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
726,Asfi,MA,70.29,clear sky,32.2994,-9.2372,Hôtel Abda
736,Ucluelet,CA,70.11,scattered clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
738,El Sauzal,MX,73.42,scattered clouds,31.9,-116.6833,Hotel Las Rosas & Spa
754,Dabakala,CI,71.38,broken clouds,8.3667,-4.4333,Hotel Residence les villages de Dabakala
757,Domoni,KM,74.5,broken clouds,-12.2569,44.5319,Al Djadid
765,La Primavera,CO,71.78,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
795,Panji,ID,72.14,broken clouds,-7.7253,114.0995,Rumah eni
810,Santhia,IT,72.66,light rain,45.3663,8.1726,Hotel
820,Sydney Mines,CA,71.01,broken clouds,46.2367,-60.2177,At The Harbourfront B&B Inc
